64,64 64,75 65,64 65,75 66,64 66,75 67,64 67,75 68,64 68,75 69,64 69,75 70,64 70,75 71,64 71,75 72,64 72,75 73,64 73,75 74,64 74,75 75,64 75,75 64,65 75,65 64,66 75,66 64,67 75,67 64,68 75,68 64,69 75,69 64,70 75,70 64,71 75,71 64,72 75,72 64,73 75,73 64,74 75,74
288,64 288,75 289,64 289,75 290,64 290,75 291,64 291,75 292,64 292,75 293,64 293,75 294,64 294,75 295,64 295,75 296,64 296,75 297,64 297,75 298,64 298,75 299,64 299,75 288,65 299,65 288,66 299,66 288,67 299,67 288,68 299,68 288,69 299,69 288,70 299,70 288,71 299,71 288,72 299,72 288,73 299,73 288,74 299,74
304,64 304,75 305,64 305,75 306,64 306,75 307,64 307,75 308,64 308,75 309,64 309,75 310,64 310,75 311,64 311,75 312,64 312,75 313,64 313,75 314,64 314,75 315,64 315,75 304,65 315,65 304,66 315,66 304,67 315,67 304,68 315,68 304,69 315,69 304,70 315,70 304,71 315,71 304,72 315,72 304,73 315,73 304,74 315,74
320,64 320,75 321,64 321,75 322,64 322,75 323,64 323,75 324,64 324,75 325,64 325,75 326,64 326,75 327,64 327,75 328,64 328,75 329,64 329,75 330,64 330,75 331,64 331,75 320,65 331,65 320,66 331,66 320,67 331,67 320,68 331,68 320,69 331,69 320,70 331,70 320,71 331,71 320,72 331,72 320,73 331,73 320,74 331,74
336,64 336,75 337,64 337,75 338,64 338,75 339,64 339,75 340,64 340,75 341,64 341,75 342,64 342,75 343,64 343,75 344,64 344,75 345,64 345,75 346,64 346,75 347,64 347,75 336,65 347,65 336,66 347,66 336,67 347,67 336,68 347,68 336,69 347,69 336,70 347,70 336,71 347,71 336,72 347,72 336,73 347,73 336,74 347,74
352,64 352,75 353,64 353,75 354,64 354,75 355,64 355,75 356,64 356,75 357,64 357,75 358,64 358,75 359,64 359,75 360,64 360,75 361,64 361,75 362,64 362,75 363,64 363,75 352,65 363,65 352,66 363,66 352,67 363,67 352,68 363,68 352,69 363,69 352,70 363,70 352,71 363,71 352,72 363,72 352,73 363,73 352,74 363,74
368,64 368,75 369,64 369,75 370,64 370,75 371,64 371,75 372,64 372,75 373,64 373,75 374,64 374,75 375,64 375,75 376,64 376,75 377,64 377,75 378,64 378,75 379,64 379,75 368,65 379,65 368,66 379,66 368,67 379,67 368,68 379,68 368,69 379,69 368,70 379,70 368,71 379,71 368,72 379,72 368,73 379,73 368,74 379,74
384,64 384,75 385,64 385,75 386,64 386,75 387,64 387,75 388,64 388,75 389,64 389,75 390,64 390,75 391,64 391,75 392,64 392,75 393,64 393,75 394,64 394,75 395,64 395,75 384,65 395,65 384,66 395,66 384,67 395,67 384,68 395,68 384,69 395,69 384,70 395,70 384,71 395,71 384,72 395,72 384,73 395,73 384,74 395,74
400,64 400,75 401,64 401,75 402,64 402,75 403,64 403,75 404,64 404,75 405,64 405,75 406,64 406,75 407,64 407,75 408,64 408,75 409,64 409,75 410,64 410,75 411,64 411,75 400,65 411,65 400,66 411,66 400,67 411,67 400,68 411,68 400,69 411,69 400,70 411,70 400,71 411,71 400,72 411,72 400,73 411,73 400,74 411,74
416,64 416,75 417,64 417,75 418,64 418,75 419,64 419,75 420,64 420,75 421,64 421,75 422,64 422,75 423,64 423,75 424,64 424,75 425,64 425,75 426,64 426,75 427,64 427,75 416,65 427,65 416,66 427,66 416,67 427,67 416,68 427,68 416,69 427,69 416,70 427,70 416,71 427,71 416,72 427,72 416,73 427,73 416,74 427,74
432,64 432,75 433,64 433,75 434,64 434,75 435,64 435,75 436,64 436,75 437,64 437,75 438,64 438,75 439,64 439,75 440,64 440,75 441,64 441,75 442,64 442,75 443,64 443,75 432,65 443,65 432,66 443,66 432,67 443,67 432,68 443,68 432,69 443,69 432,70 443,70 432,71 443,71 432,72 443,72 432,73 443,73 432,74 443,74
448,64 448,75 449,64 449,75 450,64 450,75 451,64 451,75 452,64 452,75 453,64 453,75 454,64 454,75 455,64 455,75 456,64 456,75 457,64 457,75 458,64 458,75 459,64 459,75 448,65 459,65 448,66 459,66 448,67 459,67 448,68 459,68 448,69 459,69 448,70 459,70 448,71 459,71 448,72 459,72 448,73 459,73 448,74 459,74
464,64 464,75 465,64 465,75 466,64 466,75 467,64 467,75 468,64 468,75 469,64 469,75 470,64 470,75 471,64 471,75 472,64 472,75 473,64 473,75 474,64 474,75 475,64 475,75 464,65 475,65 464,66 475,66 464,67 475,67 464,68 475,68 464,69 475,69 464,70 475,70 464,71 475,71 464,72 475,72 464,73 475,73 464,74 475,74
480,64 480,75 481,64 481,75 482,64 482,75 483,64 483,75 484,64 484,75 485,64 485,75 486,64 486,75 487,64 487,75 488,64 488,75 489,64 489,75 490,64 490,75 491,64 491,75 480,65 491,65 480,66 491,66 480,67 491,67 480,68 491,68 480,69 491,69 480,70 491,70 480,71 491,71 480,72 491,72 480,73 491,73 480,74 491,74
496,64 496,75 497,64 497,75 498,64 498,75 499,64 499,75 500,64 500,75 501,64 501,75 502,64 502,75 503,64 503,75 504,64 504,75 505,64 505,75 506,64 506,75 507,64 507,75 496,65 507,65 496,66 507,66 496,67 507,67 496,68 507,68 496,69 507,69 496,70 507,70 496,71 507,71 496,72 507,72 496,73 507,73 496,74 507,74
64,80 64,91 65,80 65,91 66,80 66,91 67,80 67,91 68,80 68,91 69,80 69,91 70,80 70,91 71,80 71,91 72,80 72,91 73,80 73,91 74,80 74,91 75,80 75,91 64,81 75,81 64,82 75,82 64,83 75,83 64,84 75,84 64,85 75,85 64,86 75,86 64,87 75,87 64,88 75,88 64,89 75,89 64,90 75,90
80,80 80,91 81,80 81,91 82,80 82,91 83,80 83,91 84,80 84,91 85,80 85,91 86,80 86,91 87,80 87,91 88,80 88,91 89,80 89,91 90,80 90,91 91,80 91,91 80,81 91,81 80,82 91,82 80,83 91,83 80,84 91,84 80,85 91,85 80,86 91,86 80,87 91,87 80,88 91,88 80,89 91,89 80,90 91,90
96,80 96,91 97,80 97,91 98,80 98,91 99,80 99,91 100,80 100,91 101,80 101,91 102,80 102,91 103,80 103,91 104,80 104,91 105,80 105,91 106,80 106,91 107,80 107,91 96,81 107,81 96,82 107,82 96,83 107,83 96,84 107,84 96,85 107,85 96,86 107,86 96,87 107,87 96,88 107,88 96,89 107,89 96,90 107,90
112,80 112,91 113,80 113,91 114,80 114,91 115,80 115,91 116,80 116,91 117,80 117,91 118,80 118,91 119,80 119,91 120,80 120,91 121,80 121,91 122,80 122,91 123,80 123,91 112,81 123,81 112,82 123,82 112,83 123,83 112,84 123,84 112,85 123,85 112,86 123,86 112,87 123,87 112,88 123,88 112,89 123,89 112,90 123,90
128,80 128,91 129,80 129,91 130,80 130,91 131,80 131,91 132,80 132,91 133,80 133,91 134,80 134,91 135,80 135,91 136,80 136,91 137,80 137,91 138,80 138,91 139,80 139,91 128,81 139,81 128,82 139,82 128,83 139,83 128,84 139,84 128,85 139,85 128,86 139,86 128,87 139,87 128,88 139,88 128,89 139,89 128,90 139,90
144,80 144,91 145,80 145,91 146,80 146,91 147,80 147,91 148,80 148,91 149,80 149,91 150,80 150,91 151,80 151,91 152,80 152,91 153,80 153,91 154,80 154,91 155,80 155,91 144,81 155,81 144,82 155,82 144,83 155,83 144,84 155,84 144,85 155,85 144,86 155,86 144,87 155,87 144,88 155,88 144,89 155,89 144,90 155,90
160,80 160,91 161,80 161,91 162,80 162,91 163,80 163,91 164,80 164,91 165,80 165,91 166,80 166,91 167,80 167,91 168,80 168,91 169,80 169,91 170,80 170,91 171,80 171,91 160,81 171,81 160,82 171,82 160,83 171,83 160,84 171,84 160,85 171,85 160,86 171,86 160,87 171,87 160,88 171,88 160,89 171,89 160,90 171,90
176,80 176,91 177,80 177,91 178,80 178,91 179,80 179,91 180,80 180,91 181,80 181,91 182,80 182,91 183,80 183,91 184,80 184,91 185,80 185,91 186,80 186,91 187,80 187,91 176,81 187,81 176,82 187,82 176,83 187,83 176,84 187,84 176,85 187,85 176,86 187,86 176,87 187,87 176,88 187,88 176,89 187,89 176,90 187,90
192,80 192,91 193,80 193,91 194,80 194,91 195,80 195,91 196,80 196,91 197,80 197,91 198,80 198,91 199,80 199,91 200,80 200,91 201,80 201,91 202,80 202,91 203,80 203,91 192,81 203,81 192,82 203,82 192,83 203,83 192,84 203,84 192,85 203,85 192,86 203,86 192,87 203,87 192,88 203,88 192,89 203,89 192,90 203,90
208,80 208,91 209,80 209,91 210,80 210,91 211,80 211,91 212,80 212,91 213,80 213,91 214,80 214,91 215,80 215,91 216,80 216,91 217,80 217,91 218,80 218,91 219,80 219,91 208,81 219,81 208,82 219,82 208,83 219,83 208,84 219,84 208,85 219,85 208,86 219,86 208,87 219,87 208,88 219,88 208,89 219,89 208,90 219,90
224,80 224,91 225,80 225,91 226,80 226,91 227,80 227,91 228,80 228,91 229,80 229,91 230,80 230,91 231,80 231,91 232,80 232,91 233,80 233,91 234,80 234,91 235,80 235,91 224,81 235,81 224,82 235,82 224,83 235,83 224,84 235,84 224,85 235,85 224,86 235,86 224,87 235,87 224,88 235,88 224,89 235,89 224,90 235,90
240,80 240,91 241,80 241,91 242,80 242,91 243,80 243,91 244,80 244,91 245,80 245,91 246,80 246,91 247,80 247,91 248,80 248,91 249,80 249,91 250,80 250,91 251,80 251,91 240,81 251,81 240,82 251,82 240,83 251,83 240,84 251,84 240,85 251,85 240,86 251,86 240,87 251,87 240,88 251,88 240,89 251,89 240,90 251,90
256,80 256,91 257,80 257,91 258,80 258,91 259,80 259,91 260,80 260,91 261,80 261,91 262,80 262,91 263,80 263,91 264,80 264,91 265,80 265,91 266,80 266,91 267,80 267,91 256,81 267,81 256,82 267,82 256,83 267,83 256,84 267,84 256,85 267,85 256,86 267,86 256,87 267,87 256,88 267,88 256,89 267,89 256,90 267,90
272,80 272,91 273,80 273,91 274,80 274,91 275,80 275,91 276,80 276,91 277,80 277,91 278,80 278,91 279,80 279,91 280,80 280,91 281,80 281,91 282,80 282,91 283,80 283,91 272,81 283,81 272,82 283,82 272,83 283,83 272,84 283,84 272,85 283,85 272,86 283,86 272,87 283,87 272,88 283,88 272,89 283,89 272,90 283,90
288,80 288,91 289,80 289,91 290,80 290,91 291,80 291,91 292,80 292,91 293,80 293,91 294,80 294,91 295,80 295,91 296,80 296,91 297,80 297,91 298,80 298,91 299,80 299,91 288,81 299,81 288,82 299,82 288,83 299,83 288,84 299,84 288,85 299,85 288,86 299,86 288,87 299,87 288,88 299,88 288,89 299,89 288,90 299,90
304,80 304,91 305,80 305,91 306,80 306,91 307,80 307,91 308,80 308,91 309,80 309,91 310,80 310,91 311,80 311,91 312,80 312,91 313,80 313,91 314,80 314,91 315,80 315,91 304,81 315,81 304,82 315,82 304,83 315,83 304,84 315,84 304,85 315,85 304,86 315,86 304,87 315,87 304,88 315,88 304,89 315,89 304,90 315,90
320,80 320,91 321,80 321,91 322,80 322,91 323,80 323,91 324,80 324,91 325,80 325,91 326,80 326,91 327,80 327,91 328,80 328,91 329,80 329,91 330,80 330,91 331,80 331,91 320,81 331,81 320,82 331,82 320,83 331,83 320,84 331,84 320,85 331,85 320,86 331,86 320,87 331,87 320,88 331,88 320,89 331,89 320,90 331,90
336,80 336,91 337,80 337,91 338,80 338,91 339,80 339,91 340,80 340,91 341,80 341,91 342,80 342,91 343,80 343,91 344,80 344,91 345,80 345,91 346,80 346,91 347,80 347,91 336,81 347,81 336,82 347,82 336,83 347,83 336,84 347,84 336,85 347,85 336,86 347,86 336,87 347,87 336,88 347,88 336,89 347,89 336,90 347,90
352,80 352,91 353,80 353,91 354,80 354,91 355,80 355,91 356,80 356,91 357,80 357,91 358,80 358,91 359,80 359,91 360,80 360,91 361,80 361,91 362,80 362,91 363,80 363,91 352,81 363,81 352,82 363,82 352,83 363,83 352,84 363,84 352,85 363,85 352,86 363,86 352,87 363,87 352,88 363,88 352,89 363,89 352,90 363,90
368,80 368,91 369,80 369,91 370,80 370,91 371,80 371,91 372,80 372,91 373,80 373,91 374,80 374,91 375,80 375,91 376,80 376,91 377,80 377,91 378,80 378,91 379,80 379,91 368,81 379,81 368,82 379,82 368,83 379,83 368,84 379,84 368,85 379,85 368,86 379,86 368,87 379,87 368,88 379,88 368,89 379,89 368,90 379,90
384,80 384,91 385,80 385,91 386,80 386,91 387,80 387,91 388,80 388,91 389,80 389,91 390,80 390,91 391,80 391,91 392,80 392,91 393,80 393,91 394,80 394,91 395,80 395,91 384,81 395,81 384,82 395,82 384,83 395,83 384,84 395,84 384,85 395,85 384,86 395,86 384,87 395,87 384,88 395,88 384,89 395,89 384,90 395,90
400,80 400,91 401,80 401,91 402,80 402,91 403,80 403,91 404,80 404,91 405,80 405,91 406,80 406,91 407,80 407,91 408,80 408,91 409,80 409,91 410,80 410,91 411,80 411,91 400,81 411,81 400,82 411,82 400,83 411,83 400,84 411,84 400,85 411,85 400,86 411,86 400,87 411,87 400,88 411,88 400,89 411,89 400,90 411,90
416,80 416,91 417,80 417,91 418,80 418,91 419,80 419,91 420,80 420,91 421,80 421,91 422,80 422,91 423,80 423,91 424,80 424,91 425,80 425,91 426,80 426,91 427,80 427,91 416,81 427,81 416,82 427,82 416,83 427,83 416,84 427,84 416,85 427,85 416,86 427,86 416,87 427,87 416,88 427,88 416,89 427,89 416,90 427,90
432,80 432,91 433,80 433,91 434,80 434,91 435,80 435,91 436,80 436,91 437,80 437,91 438,80 438,91 439,80 439,91 440,80 440,91 441,80 441,91 442,80 442,91 443,80 443,91 432,81 443,81 432,82 443,82 432,83 443,83 432,84 443,84 432,85 443,85 432,86 443,86 432,87 443,87 432,88 443,88 432,89 443,89 432,90 443,90
448,80 448,91 449,80 449,91 450,80 450,91 451,80 451,91 452,80 452,91 453,80 453,91 454,80 454,91 455,80 455,91 456,80 456,91 457,80 457,91 458,80 458,91 459,80 459,91 448,81 459,81 448,82 459,82 448,83 459,83 448,84 459,84 448,85 459,85 448,86 459,86 448,87 459,87 448,88 459,88 448,89 459,89 448,90 459,90
464,80 464,91 465,80 465,91 466,80 466,91 467,80 467,91 468,80 468,91 469,80 469,91 470,80 470,91 471,80 471,91 472,80 472,91 473,80 473,91 474,80 474,91 475,80 475,91 464,81 475,81 464,82 475,82 464,83 475,83 464,84 475,84 464,85 475,85 464,86 475,86 464,87 475,87 464,88 475,88 464,89 475,89 464,90 475,90
480,80 480,91 481,80 481,91 482,80 482,91 483,80 483,91 484,80 484,91 485,80 485,91 486,80 486,91 487,80 487,91 488,80 488,91 489,80 489,91 490,80 490,91 491,80 491,91 480,81 491,81 480,82 491,82 480,83 491,83 480,84 491,84 480,85 491,85 480,86 491,86 480,87 491,87 480,88 491,88 480,89 491,89 480,90 491,90
496,80 496,91 497,80 497,91 498,80 498,91 499,80 499,91 500,80 500,91 501,80 501,91 502,80 502,91 503,80 503,91 504,80 504,91 505,80 505,91 506,80 506,91 507,80 507,91 496,81 507,81 496,82 507,82 496,83 507,83 496,84 507,84 496,85 507,85 496,86 507,86 496,87 507,87 496,88 507,88 496,89 507,89 496,90 507,90
64,96 64,107 65,96 65,107 66,96 66,107 67,96 67,107 68,96 68,107 69,96 69,107 70,96 70,107 71,96 71,107 72,96 72,107 73,96 73,107 74,96 74,107 75,96 75,107 64,97 75,97 64,98 75,98 64,99 75,99 64,100 75,100 64,101 75,101 64,102 75,102 64,103 75,103 64,104 75,104 64,105 75,105 64,106 75,106
80,96 80,107 81,96 81,107 82,96 82,107 83,96 83,107 84,96 84,107 85,96 85,107 86,96 86,107 87,96 87,107 88,96 88,107 89,96 89,107 90,96 90,107 91,96 91,107 80,97 91,97 80,98 91,98 80,99 91,99 80,100 91,100 80,101 91,101 80,102 91,102 80,103 91,103 80,104 91,104 80,105 91,105 80,106 91,106
96,96 96,107 97,96 97,107 98,96 98,107 99,96 99,107 100,96 100,107 101,96 101,107 102,96 102,107 103,96 103,107 104,96 104,107 105,96 105,107 106,96 106,107 107,96 107,107 96,97 107,97 96,98 107,98 96,99 107,99 96,100 107,100 96,101 107,101 96,102 107,102 96,103 107,103 96,104 107,104 96,105 107,105 96,106 107,106
112,96 112,107 113,96 113,107 114,96 114,107 115,96 115,107 116,96 116,107 117,96 117,107 118,96 118,107 119,96 119,107 120,96 120,107 121,96 121,107 122,96 122,107 123,96 123,107 112,97 123,97 112,98 123,98 112,99 123,99 112,100 123,100 112,101 123,101 112,102 123,102 112,103 123,103 112,104 123,104 112,105 123,105 112,106 123,106
128,96 128,107 129,96 129,107 130,96 130,107 131,96 131,107 132,96 132,107 133,96 133,107 134,96 134,107 135,96 135,107 136,96 136,107 137,96 137,107 138,96 138,107 139,96 139,107 128,97 139,97 128,98 139,98 128,99 139,99 128,100 139,100 128,101 139,101 128,102 139,102 128,103 139,103 128,104 139,104 128,105 139,105 128,106 139,106
144,96 144,107 145,96 145,107 146,96 146,107 147,96 147,107 148,96 148,107 149,96 149,107 150,96 150,107 151,96 151,107 152,96 152,107 153,96 153,107 154,96 154,107 155,96 155,107 144,97 155,97 144,98 155,98 144,99 155,99 144,100 155,100 144,101 155,101 144,102 155,102 144,103 155,103 144,104 155,104 144,105 155,105 144,106 155,106
160,96 160,107 161,96 161,107 162,96 162,107 163,96 163,107 164,96 164,107 165,96 165,107 166,96 166,107 167,96 167,107 168,96 168,107 169,96 169,107 170,96 170,107 171,96 171,107 160,97 171,97 160,98 171,98 160,99 171,99 160,100 171,100 160,101 171,101 160,102 171,102 160,103 171,103 160,104 171,104 160,105 171,105 160,106 171,106
176,96 176,107 177,96 177,107 178,96 178,107 179,96 179,107 180,96 180,107 181,96 181,107 182,96 182,107 183,96 183,107 184,96 184,107 185,96 185,107 186,96 186,107 187,96 187,107 176,97 187,97 176,98 187,98 176,99 187,99 176,100 187,100 176,101 187,101 176,102 187,102 176,103 187,103 176,104 187,104 176,105 187,105 176,106 187,106
192,96 192,107 193,96 193,107 194,96 194,107 195,96 195,107 196,96 196,107 197,96 197,107 198,96 198,107 199,96 199,107 200,96 200,107 201,96 201,107 202,96 202,107 203,96 203,107 192,97 203,97 192,98 203,98 192,99 203,99 192,100 203,100 192,101 203,101 192,102 203,102 192,103 203,103 192,104 203,104 192,105 203,105 192,106 203,106
208,96 208,107 209,96 209,107 210,96 210,107 211,96 211,107 212,96 212,107 213,96 213,107 214,96 214,107 215,96 215,107 216,96 216,107 217,96 217,107 218,96 218,107 219,96 219,107 208,97 219,97 208,98 219,98 208,99 219,99 208,100 219,100 208,101 219,101 208,102 219,102 208,103 219,103 208,104 219,104 208,105 219,105 208,106 219,106
224,96 224,107 225,96 225,107 226,96 226,107 227,96 227,107 228,96 228,107 229,96 229,107 230,96 230,107 231,96 231,107 232,96 232,107 233,96 233,107 234,96 234,107 235,96 235,107 224,97 235,97 224,98 235,98 224,99 235,99 224,100 235,100 224,101 235,101 224,102 235,102 224,103 235,103 224,104 235,104 224,105 235,105 224,106 235,106
240,96 240,107 241,96 241,107 242,96 242,107 243,96 243,107 244,96 244,107 245,96 245,107 246,96 246,107 247,96 247,107 248,96 248,107 249,96 249,107 250,96 250,107 251,96 251,107 240,97 251,97 240,98 251,98 240,99 251,99 240,100 251,100 240,101 251,101 240,102 251,102 240,103 251,103 240,104 251,104 240,105 251,105 240,106 251,106
256,96 256,107 257,96 257,107 258,96 258,107 259,96 259,107 260,96 260,107 261,96 261,107 262,96 262,107 263,96 263,107 264,96 264,107 265,96 265,107 266,96 266,107 267,96 267,107 256,97 267,97 256,98 267,98 256,99 267,99 256,100 267,100 256,101 267,101 256,102 267,102 256,103 267,103 256,104 267,104 256,105 267,105 256,106 267,106
272,96 272,107 273,96 273,107 274,96 274,107 275,96 275,107 276,96 276,107 277,96 277,107 278,96 278,107 279,96 279,107 280,96 280,107 281,96 281,107 282,96 282,107 283,96 283,107 272,97 283,97 272,98 283,98 272,99 283,99 272,100 283,100 272,101 283,101 272,102 283,102 272,103 283,103 272,104 283,104 272,105 283,105 272,106 283,106
288,96 288,107 289,96 289,107 290,96 290,107 291,96 291,107 292,96 292,107 293,96 293,107 294,96 294,107 295,96 295,107 296,96 296,107 297,96 297,107 298,96 298,107 299,96 299,107 288,97 299,97 288,98 299,98 288,99 299,99 288,100 299,100 288,101 299,101 288,102 299,102 288,103 299,103 288,104 299,104 288,105 299,105 288,106 299,106
304,96 304,107 305,96 305,107 306,96 306,107 307,96 307,107 308,96 308,107 309,96 309,107 310,96 310,107 311,96 311,107 312,96 312,107 313,96 313,107 314,96 314,107 315,96 315,107 304,97 315,97 304,98 315,98 304,99 315,99 304,100 315,100 304,101 315,101 304,102 315,102 304,103 315,103 304,104 315,104 304,105 315,105 304,106 315,106
320,96 320,107 321,96 321,107 322,96 322,107 323,96 323,107 324,96 324,107 325,96 325,107 326,96 326,107 327,96 327,107 328,96 328,107 329,96 329,107 330,96 330,107 331,96 331,107 320,97 331,97 320,98 331,98 320,99 331,99 320,100 331,100 320,101 331,101 320,102 331,102 320,103 331,103 320,104 331,104 320,105 331,105 320,106 331,106
336,96 336,107 337,96 337,107 338,96 338,107 339,96 339,107 340,96 340,107 341,96 341,107 342,96 342,107 343,96 343,107 344,96 344,107 345,96 345,107 346,96 346,107 347,96 347,107 336,97 347,97 336,98 347,98 336,99 347,99 336,100 347,100 336,101 347,101 336,102 347,102 336,103 347,103 336,104 347,104 336,105 347,105 336,106 347,106
352,96 352,107 353,96 353,107 354,96 354,107 355,96 355,107 356,96 356,107 357,96 357,107 358,96 358,107 359,96 359,107 360,96 360,107 361,96 361,107 362,96 362,107 363,96 363,107 352,97 363,97 352,98 363,98 352,99 363,99 352,100 363,100 352,101 363,101 352,102 363,102 352,103 363,103 352,104 363,104 352,105 363,105 352,106 363,106
368,96 368,107 369,96 369,107 370,96 370,107 371,96 371,107 372,96 372,107 373,96 373,107 374,96 374,107 375,96 375,107 376,96 376,107 377,96 377,107 378,96 378,107 379,96 379,107 368,97 379,97 368,98 379,98 368,99 379,99 368,100 379,100 368,101 379,101 368,102 379,102 368,103 379,103 368,104 379,104 368,105 379,105 368,106 379,106
384,96 384,107 385,96 385,107 386,96 386,107 387,96 387,107 388,96 388,107 389,96 389,107 390,96 390,107 391,96 391,107 392,96 392,107 393,96 393,107 394,96 394,107 395,96 395,107 384,97 395,97 384,98 395,98 384,99 395,99 384,100 395,100 384,101 395,101 384,102 395,102 384,103 395,103 384,104 395,104 384,105 395,105 384,106 395,106
400,96 400,107 401,96 401,107 402,96 402,107 403,96 403,107 404,96 404,107 405,96 405,107 406,96 406,107 407,96 407,107 408,96 408,107 409,96 409,107 410,96 410,107 411,96 411,107 400,97 411,97 400,98 411,98 400,99 411,99 400,100 411,100 400,101 411,101 400,102 411,102 400,103 411,103 400,104 411,104 400,105 411,105 400,106 411,106
