188,8 188,67 189,8 189,67 190,8 190,67 191,8 191,67 192,8 192,67 193,8 193,67 194,8 194,67 195,8 195,67 196,8 196,67 197,8 197,67 198,8 198,67 199,8 199,67 188,9 199,9 188,10 199,10 188,11 199,11 188,12 199,12 188,13 199,13 188,14 199,14 188,15 199,15 188,16 199,16 188,17 199,17 188,18 199,18 188,19 199,19 188,20 199,20 188,21 199,21 188,22 199,22 188,23 199,23 188,24 199,24 188,25 199,25 188,26 199,26 188,27 199,27 188,28 199,28 188,29 199,29 188,30 199,30 188,31 199,31 188,32 199,32 188,33 199,33 188,34 199,34 188,35 199,35 188,36 199,36 188,37 199,37 188,38 199,38 188,39 199,39 188,40 199,40 188,41 199,41 188,42 199,42 188,43 199,43 188,44 199,44 188,45 199,45 188,46 199,46 188,47 199,47 188,48 199,48 188,49 199,49 188,50 199,50 188,51 199,51 188,52 199,52 188,53 199,53 188,54 199,54 188,55 199,55 188,56 199,56 188,57 199,57 188,58 199,58 188,59 199,59 188,60 199,60 188,61 199,61 188,62 199,62 188,63 199,63 188,64 199,64 188,65 199,65 188,66 199,66
206,8 206,67 207,8 207,67 208,8 208,67 209,8 209,67 210,8 210,67 211,8 211,67 212,8 212,67 213,8 213,67 214,8 214,67 215,8 215,67 216,8 216,67 217,8 217,67 206,9 217,9 206,10 217,10 206,11 217,11 206,12 217,12 206,13 217,13 206,14 217,14 206,15 217,15 206,16 217,16 206,17 217,17 206,18 217,18 206,19 217,19 206,20 217,20 206,21 217,21 206,22 217,22 206,23 217,23 206,24 217,24 206,25 217,25 206,26 217,26 206,27 217,27 206,28 217,28 206,29 217,29 206,30 217,30 206,31 217,31 206,32 217,32 206,33 217,33 206,34 217,34 206,35 217,35 206,36 217,36 206,37 217,37 206,38 217,38 206,39 217,39 206,40 217,40 206,41 217,41 206,42 217,42 206,43 217,43 206,44 217,44 206,45 217,45 206,46 217,46 206,47 217,47 206,48 217,48 206,49 217,49 206,50 217,50 206,51 217,51 206,52 217,52 206,53 217,53 206,54 217,54 206,55 217,55 206,56 217,56 206,57 217,57 206,58 217,58 206,59 217,59 206,60 217,60 206,61 217,61 206,62 217,62 206,63 217,63 206,64 217,64 206,65 217,65 206,66 217,66
224,8 224,67 225,8 225,67 226,8 226,67 227,8 227,67 228,8 228,67 229,8 229,67 230,8 230,67 231,8 231,67 232,8 232,67 233,8 233,67 234,8 234,67 235,8 235,67 224,9 235,9 224,10 235,10 224,11 235,11 224,12 235,12 224,13 235,13 224,14 235,14 224,15 235,15 224,16 235,16 224,17 235,17 224,18 235,18 224,19 235,19 224,20 235,20 224,21 235,21 224,22 235,22 224,23 235,23 224,24 235,24 224,25 235,25 224,26 235,26 224,27 235,27 224,28 235,28 224,29 235,29 224,30 235,30 224,31 235,31 224,32 235,32 224,33 235,33 224,34 235,34 224,35 235,35 224,36 235,36 224,37 235,37 224,38 235,38 224,39 235,39 224,40 235,40 224,41 235,41 224,42 235,42 224,43 235,43 224,44 235,44 224,45 235,45 224,46 235,46 224,47 235,47 224,48 235,48 224,49 235,49 224,50 235,50 224,51 235,51 224,52 235,52 224,53 235,53 224,54 235,54 224,55 235,55 224,56 235,56 224,57 235,57 224,58 235,58 224,59 235,59 224,60 235,60 224,61 235,61 224,62 235,62 224,63 235,63 224,64 235,64 224,65 235,65 224,66 235,66
8,74 8,133 9,74 9,133 10,74 10,133 11,74 11,133 12,74 12,133 13,74 13,133 14,74 14,133 15,74 15,133 16,74 16,133 17,74 17,133 18,74 18,133 19,74 19,133 8,75 19,75 8,76 19,76 8,77 19,77 8,78 19,78 8,79 19,79 8,80 19,80 8,81 19,81 8,82 19,82 8,83 19,83 8,84 19,84 8,85 19,85 8,86 19,86 8,87 19,87 8,88 19,88 8,89 19,89 8,90 19,90 8,91 19,91 8,92 19,92 8,93 19,93 8,94 19,94 8,95 19,95 8,96 19,96 8,97 19,97 8,98 19,98 8,99 19,99 8,100 19,100 8,101 19,101 8,102 19,102 8,103 19,103 8,104 19,104 8,105 19,105 8,106 19,106 8,107 19,107 8,108 19,108 8,109 19,109 8,110 19,110 8,111 19,111 8,112 19,112 8,113 19,113 8,114 19,114 8,115 19,115 8,116 19,116 8,117 19,117 8,118 19,118 8,119 19,119 8,120 19,120 8,121 19,121 8,122 19,122 8,123 19,123 8,124 19,124 8,125 19,125 8,126 19,126 8,127 19,127 8,128 19,128 8,129 19,129 8,130 19,130 8,131 19,131 8,132 19,132
26,74 26,133 27,74 27,133 28,74 28,133 29,74 29,133 30,74 30,133 31,74 31,133 32,74 32,133 33,74 33,133 34,74 34,133 35,74 35,133 36,74 36,133 37,74 37,133 26,75 37,75 26,76 37,76 26,77 37,77 26,78 37,78 26,79 37,79 26,80 37,80 26,81 37,81 26,82 37,82 26,83 37,83 26,84 37,84 26,85 37,85 26,86 37,86 26,87 37,87 26,88 37,88 26,89 37,89 26,90 37,90 26,91 37,91 26,92 37,92 26,93 37,93 26,94 37,94 26,95 37,95 26,96 37,96 26,97 37,97 26,98 37,98 26,99 37,99 26,100 37,100 26,101 37,101 26,102 37,102 26,103 37,103 26,104 37,104 26,105 37,105 26,106 37,106 26,107 37,107 26,108 37,108 26,109 37,109 26,110 37,110 26,111 37,111 26,112 37,112 26,113 37,113 26,114 37,114 26,115 37,115 26,116 37,116 26,117 37,117 26,118 37,118 26,119 37,119 26,120 37,120 26,121 37,121 26,122 37,122 26,123 37,123 26,124 37,124 26,125 37,125 26,126 37,126 26,127 37,127 26,128 37,128 26,129 37,129 26,130 37,130 26,131 37,131 26,132 37,132
44,74 44,133 45,74 45,133 46,74 46,133 47,74 47,133 48,74 48,133 49,74 49,133 50,74 50,133 51,74 51,133 52,74 52,133 53,74 53,133 54,74 54,133 55,74 55,133 44,75 55,75 44,76 55,76 44,77 55,77 44,78 55,78 44,79 55,79 44,80 55,80 44,81 55,81 44,82 55,82 44,83 55,83 44,84 55,84 44,85 55,85 44,86 55,86 44,87 55,87 44,88 55,88 44,89 55,89 44,90 55,90 44,91 55,91 44,92 55,92 44,93 55,93 44,94 55,94 44,95 55,95 44,96 55,96 44,97 55,97 44,98 55,98 44,99 55,99 44,100 55,100 44,101 55,101 44,102 55,102 44,103 55,103 44,104 55,104 44,105 55,105 44,106 55,106 44,107 55,107 44,108 55,108 44,109 55,109 44,110 55,110 44,111 55,111 44,112 55,112 44,113 55,113 44,114 55,114 44,115 55,115 44,116 55,116 44,117 55,117 44,118 55,118 44,119 55,119 44,120 55,120 44,121 55,121 44,122 55,122 44,123 55,123 44,124 55,124 44,125 55,125 44,126 55,126 44,127 55,127 44,128 55,128 44,129 55,129 44,130 55,130 44,131 55,131 44,132 55,132
62,74 62,133 63,74 63,133 64,74 64,133 65,74 65,133 66,74 66,133 67,74 67,133 68,74 68,133 69,74 69,133 70,74 70,133 71,74 71,133 72,74 72,133 73,74 73,133 62,75 73,75 62,76 73,76 62,77 73,77 62,78 73,78 62,79 73,79 62,80 73,80 62,81 73,81 62,82 73,82 62,83 73,83 62,84 73,84 62,85 73,85 62,86 73,86 62,87 73,87 62,88 73,88 62,89 73,89 62,90 73,90 62,91 73,91 62,92 73,92 62,93 73,93 62,94 73,94 62,95 73,95 62,96 73,96 62,97 73,97 62,98 73,98 62,99 73,99 62,100 73,100 62,101 73,101 62,102 73,102 62,103 73,103 62,104 73,104 62,105 73,105 62,106 73,106 62,107 73,107 62,108 73,108 62,109 73,109 62,110 73,110 62,111 73,111 62,112 73,112 62,113 73,113 62,114 73,114 62,115 73,115 62,116 73,116 62,117 73,117 62,118 73,118 62,119 73,119 62,120 73,120 62,121 73,121 62,122 73,122 62,123 73,123 62,124 73,124 62,125 73,125 62,126 73,126 62,127 73,127 62,128 73,128 62,129 73,129 62,130 73,130 62,131 73,131 62,132 73,132
80,74 80,133 81,74 81,133 82,74 82,133 83,74 83,133 84,74 84,133 85,74 85,133 86,74 86,133 87,74 87,133 88,74 88,133 89,74 89,133 90,74 90,133 91,74 91,133 80,75 91,75 80,76 91,76 80,77 91,77 80,78 91,78 80,79 91,79 80,80 91,80 80,81 91,81 80,82 91,82 80,83 91,83 80,84 91,84 80,85 91,85 80,86 91,86 80,87 91,87 80,88 91,88 80,89 91,89 80,90 91,90 80,91 91,91 80,92 91,92 80,93 91,93 80,94 91,94 80,95 91,95 80,96 91,96 80,97 91,97 80,98 91,98 80,99 91,99 80,100 91,100 80,101 91,101 80,102 91,102 80,103 91,103 80,104 91,104 80,105 91,105 80,106 91,106 80,107 91,107 80,108 91,108 80,109 91,109 80,110 91,110 80,111 91,111 80,112 91,112 80,113 91,113 80,114 91,114 80,115 91,115 80,116 91,116 80,117 91,117 80,118 91,118 80,119 91,119 80,120 91,120 80,121 91,121 80,122 91,122 80,123 91,123 80,124 91,124 80,125 91,125 80,126 91,126 80,127 91,127 80,128 91,128 80,129 91,129 80,130 91,130 80,131 91,131 80,132 91,132
98,74 98,133 99,74 99,133 100,74 100,133 101,74 101,133 102,74 102,133 103,74 103,133 104,74 104,133 105,74 105,133 106,74 106,133 107,74 107,133 108,74 108,133 109,74 109,133 98,75 109,75 98,76 109,76 98,77 109,77 98,78 109,78 98,79 109,79 98,80 109,80 98,81 109,81 98,82 109,82 98,83 109,83 98,84 109,84 98,85 109,85 98,86 109,86 98,87 109,87 98,88 109,88 98,89 109,89 98,90 109,90 98,91 109,91 98,92 109,92 98,93 109,93 98,94 109,94 98,95 109,95 98,96 109,96 98,97 109,97 98,98 109,98 98,99 109,99 98,100 109,100 98,101 109,101 98,102 109,102 98,103 109,103 98,104 109,104 98,105 109,105 98,106 109,106 98,107 109,107 98,108 109,108 98,109 109,109 98,110 109,110 98,111 109,111 98,112 109,112 98,113 109,113 98,114 109,114 98,115 109,115 98,116 109,116 98,117 109,117 98,118 109,118 98,119 109,119 98,120 109,120 98,121 109,121 98,122 109,122 98,123 109,123 98,124 109,124 98,125 109,125 98,126 109,126 98,127 109,127 98,128 109,128 98,129 109,129 98,130 109,130 98,131 109,131 98,132 109,132
116,74 116,133 117,74 117,133 118,74 118,133 119,74 119,133 120,74 120,133 121,74 121,133 122,74 122,133 123,74 123,133 124,74 124,133 125,74 125,133 126,74 126,133 127,74 127,133 116,75 127,75 116,76 127,76 116,77 127,77 116,78 127,78 116,79 127,79 116,80 127,80 116,81 127,81 116,82 127,82 116,83 127,83 116,84 127,84 116,85 127,85 116,86 127,86 116,87 127,87 116,88 127,88 116,89 127,89 116,90 127,90 116,91 127,91 116,92 127,92 116,93 127,93 116,94 127,94 116,95 127,95 116,96 127,96 116,97 127,97 116,98 127,98 116,99 127,99 116,100 127,100 116,101 127,101 116,102 127,102 116,103 127,103 116,104 127,104 116,105 127,105 116,106 127,106 116,107 127,107 116,108 127,108 116,109 127,109 116,110 127,110 116,111 127,111 116,112 127,112 116,113 127,113 116,114 127,114 116,115 127,115 116,116 127,116 116,117 127,117 116,118 127,118 116,119 127,119 116,120 127,120 116,121 127,121 116,122 127,122 116,123 127,123 116,124 127,124 116,125 127,125 116,126 127,126 116,127 127,127 116,128 127,128 116,129 127,129 116,130 127,130 116,131 127,131 116,132 127,132
134,74 134,133 135,74 135,133 136,74 136,133 137,74 137,133 138,74 138,133 139,74 139,133 140,74 140,133 141,74 141,133 142,74 142,133 143,74 143,133 144,74 144,133 145,74 145,133 134,75 145,75 134,76 145,76 134,77 145,77 134,78 145,78 134,79 145,79 134,80 145,80 134,81 145,81 134,82 145,82 134,83 145,83 134,84 145,84 134,85 145,85 134,86 145,86 134,87 145,87 134,88 145,88 134,89 145,89 134,90 145,90 134,91 145,91 134,92 145,92 134,93 145,93 134,94 145,94 134,95 145,95 134,96 145,96 134,97 145,97 134,98 145,98 134,99 145,99 134,100 145,100 134,101 145,101 134,102 145,102 134,103 145,103 134,104 145,104 134,105 145,105 134,106 145,106 134,107 145,107 134,108 145,108 134,109 145,109 134,110 145,110 134,111 145,111 134,112 145,112 134,113 145,113 134,114 145,114 134,115 145,115 134,116 145,116 134,117 145,117 134,118 145,118 134,119 145,119 134,120 145,120 134,121 145,121 134,122 145,122 134,123 145,123 134,124 145,124 134,125 145,125 134,126 145,126 134,127 145,127 134,128 145,128 134,129 145,129 134,130 145,130 134,131 145,131 134,132 145,132
152,74 152,133 153,74 153,133 154,74 154,133 155,74 155,133 156,74 156,133 157,74 157,133 158,74 158,133 159,74 159,133 160,74 160,133 161,74 161,133 162,74 162,133 163,74 163,133 152,75 163,75 152,76 163,76 152,77 163,77 152,78 163,78 152,79 163,79 152,80 163,80 152,81 163,81 152,82 163,82 152,83 163,83 152,84 163,84 152,85 163,85 152,86 163,86 152,87 163,87 152,88 163,88 152,89 163,89 152,90 163,90 152,91 163,91 152,92 163,92 152,93 163,93 152,94 163,94 152,95 163,95 152,96 163,96 152,97 163,97 152,98 163,98 152,99 163,99 152,100 163,100 152,101 163,101 152,102 163,102 152,103 163,103 152,104 163,104 152,105 163,105 152,106 163,106 152,107 163,107 152,108 163,108 152,109 163,109 152,110 163,110 152,111 163,111 152,112 163,112 152,113 163,113 152,114 163,114 152,115 163,115 152,116 163,116 152,117 163,117 152,118 163,118 152,119 163,119 152,120 163,120 152,121 163,121 152,122 163,122 152,123 163,123 152,124 163,124 152,125 163,125 152,126 163,126 152,127 163,127 152,128 163,128 152,129 163,129 152,130 163,130 152,131 163,131 152,132 163,132
170,74 170,133 171,74 171,133 172,74 172,133 173,74 173,133 174,74 174,133 175,74 175,133 176,74 176,133 177,74 177,133 178,74 178,133 179,74 179,133 180,74 180,133 181,74 181,133 170,75 181,75 170,76 181,76 170,77 181,77 170,78 181,78 170,79 181,79 170,80 181,80 170,81 181,81 170,82 181,82 170,83 181,83 170,84 181,84 170,85 181,85 170,86 181,86 170,87 181,87 170,88 181,88 170,89 181,89 170,90 181,90 170,91 181,91 170,92 181,92 170,93 181,93 170,94 181,94 170,95 181,95 170,96 181,96 170,97 181,97 170,98 181,98 170,99 181,99 170,100 181,100 170,101 181,101 170,102 181,102 170,103 181,103 170,104 181,104 170,105 181,105 170,106 181,106 170,107 181,107 170,108 181,108 170,109 181,109 170,110 181,110 170,111 181,111 170,112 181,112 170,113 181,113 170,114 181,114 170,115 181,115 170,116 181,116 170,117 181,117 170,118 181,118 170,119 181,119 170,120 181,120 170,121 181,121 170,122 181,122 170,123 181,123 170,124 181,124 170,125 181,125 170,126 181,126 170,127 181,127 170,128 181,128 170,129 181,129 170,130 181,130 170,131 181,131 170,132 181,132
188,74 188,133 189,74 189,133 190,74 190,133 191,74 191,133 192,74 192,133 193,74 193,133 194,74 194,133 195,74 195,133 196,74 196,133 197,74 197,133 198,74 198,133 199,74 199,133 188,75 199,75 188,76 199,76 188,77 199,77 188,78 199,78 188,79 199,79 188,80 199,80 188,81 199,81 188,82 199,82 188,83 199,83 188,84 199,84 188,85 199,85 188,86 199,86 188,87 199,87 188,88 199,88 188,89 199,89 188,90 199,90 188,91 199,91 188,92 199,92 188,93 199,93 188,94 199,94 188,95 199,95 188,96 199,96 188,97 199,97 188,98 199,98 188,99 199,99 188,100 199,100 188,101 199,101 188,102 199,102 188,103 199,103 188,104 199,104 188,105 199,105 188,106 199,106 188,107 199,107 188,108 199,108 188,109 199,109 188,110 199,110 188,111 199,111 188,112 199,112 188,113 199,113 188,114 199,114 188,115 199,115 188,116 199,116 188,117 199,117 188,118 199,118 188,119 199,119 188,120 199,120 188,121 199,121 188,122 199,122 188,123 199,123 188,124 199,124 188,125 199,125 188,126 199,126 188,127 199,127 188,128 199,128 188,129 199,129 188,130 199,130 188,131 199,131 188,132 199,132
206,74 206,133 207,74 207,133 208,74 208,133 209,74 209,133 210,74 210,133 211,74 211,133 212,74 212,133 213,74 213,133 214,74 214,133 215,74 215,133 216,74 216,133 217,74 217,133 206,75 217,75 206,76 217,76 206,77 217,77 206,78 217,78 206,79 217,79 206,80 217,80 206,81 217,81 206,82 217,82 206,83 217,83 206,84 217,84 206,85 217,85 206,86 217,86 206,87 217,87 206,88 217,88 206,89 217,89 206,90 217,90 206,91 217,91 206,92 217,92 206,93 217,93 206,94 217,94 206,95 217,95 206,96 217,96 206,97 217,97 206,98 217,98 206,99 217,99 206,100 217,100 206,101 217,101 206,102 217,102 206,103 217,103 206,104 217,104 206,105 217,105 206,106 217,106 206,107 217,107 206,108 217,108 206,109 217,109 206,110 217,110 206,111 217,111 206,112 217,112 206,113 217,113 206,114 217,114 206,115 217,115 206,116 217,116 206,117 217,117 206,118 217,118 206,119 217,119 206,120 217,120 206,121 217,121 206,122 217,122 206,123 217,123 206,124 217,124 206,125 217,125 206,126 217,126 206,127 217,127 206,128 217,128 206,129 217,129 206,130 217,130 206,131 217,131 206,132 217,132
